standard_name,short_name,nutrient,unit,aed2,selmaprotbas,wet,mylake,pclake
wq_po4_gramsPerMeterCubed,inflow_po4,P,gramsPerMeterCubed,PHS_frp,selmaprotbas_po,abiotic_water_sPO4W,TP,mPLoadPO4Epi
wq_pop_gramsPerMeterCubed,inflow_pop,P,gramsPerMeterCubed,OGM_pop,selmaprotbas_dd_p,abiotic_water_sPPOMW,DOP,mPLoadOrgEpi
wq_dop_gramsPerMeterCubed,inflow_dop,P,gramsPerMeterCubed,OGM_dop,-,abiotic_water_sPDOMW,DOP,-
wq_no3_gramsPerMeterCubed,inflow_no3,N,gramsPerMeterCubed,NIT_nit,selmaprotbas_nn,abiotic_water_sNO3W,-,mNLoadNO3Epi
wq_nh4_gramsPerMeterCubed,inflow_nh4,N,gramsPerMeterCubed,NIT_amm,selmaprotbas_aa,abiotic_water_sNH4W,-,mNLoadNH4Epi
wq_pon_gramsPerMeterCubed,inflow_pon,N,gramsPerMeterCubed,OGM_pon,selmaprotbas_dd_n,abiotic_water_sNPOMW,-,mNLoadOrgEpi
wq_don_gramsPerMeterCubed,inflow_don,N,gramsPerMeterCubed,OGM_don,-,abiotic_water_sNDOMW,-,-
wq_sio2_gramsPerMeterCubed,inflow_sio2,Si,gramsPerMeterCubed,SIL_rsi,selmaprotbas_si,abiotic_water_sSiO2W,-,mSiLoadSiO2Epi
