lId,iReport,sName,sUnit,sEquation,sDescription,sRemark,-1,code versie 5.09.00,code versie 5.09.00,code versie 5.09.00,code versie 5.09.00,v00-v01,v00-v02,v00-v03
10,0,_sDDetWHyp0_,_gDW_*_m_^-2,-,Detritus_DW_in_hypolimnion_lake_water,-,-1,_sDDetWHyp0_ = _cDDetWHyp0_ *_MassHyp0_,_sDDetWHyp0_ = _cDDetWHyp0_ *_MassHyp0_,_sDDetWHyp0_ = _cDDetWHyp0_ *_MassHyp0_,_sDDetWHyp0_ = _cDDetWHyp0_ *_MassHyp0_,TRUE,TRUE,TRUE
11,0,_sNDetWHyp0_,_gN_*_m_^-2,-,Detritus_N_in_hypolimnion_lake_water,-,-1,_sNDetWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetWHyp0_ _ELSE_ _cNDetWHyp0_ *_MassHyp0_ _ENDIF_,_sNDetWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetWHyp0_ _ELSE_ _cNDetWHyp0_ *_MassHyp0_ _ENDIF_,_sNDetWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetWHyp0_ _ELSE_ _cNDetWHyp0_ *_MassHyp0_ _ENDIF_,_sNDetWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDet0_ * _sDDetWHyp0_ _ELSE_ _cNDetWHyp0_ *_MassHyp0_ _ENDIF_,TRUE,TRUE,TRUE
12,0,_sPDetWHyp0_,_gP_*_m_^-2,-,Detritus_P_in_hypolimnion_lake_water,-,-1,_sPDetWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDet0_ * _sDDetWHyp0_ _ELSE_ _cPDetWHyp0_ *_MassHyp0_ _ENDIF_,_sPDetWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDet0_ * _sDDetWHyp0_ _ELSE_ _cPDetWHyp0_ *_MassHyp0_ _ENDIF_,_sPDetWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDet0_ * _sDDetWHyp0_ _ELSE_ _cPDetWHyp0_ *_MassHyp0_ _ENDIF_,_sPDetWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDet0_ * _sDDetWHyp0_ _ELSE_ _cPDetWHyp0_ *_MassHyp0_ _ENDIF_,TRUE,TRUE,TRUE
13,0,_sSiDetWHyp0_,_gSi_*_m_^-2,-,Detritus_Si_in_hypolimnion_lake_water,-,-1,_sSiDetWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cSiDDet0_ * _sDDetWHyp0_ _ELSE_ _cSiDetWHyp0_ *_MassHyp0_ _ENDIF_,_sSiDetWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cSiDDet0_ * _sDDetWHyp0_ _ELSE_ _cSiDetWHyp0_ *_MassHyp0_ _ENDIF_,_sSiDetWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cSiDDet0_ * _sDDetWHyp0_ _ELSE_ _cSiDetWHyp0_ *_MassHyp0_ _ENDIF_,_sSiDetWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cSiDDet0_ * _sDDetWHyp0_ _ELSE_ _cSiDetWHyp0_ *_MassHyp0_ _ENDIF_,TRUE,TRUE,TRUE
14,0,_sDIMWHyp0_,_gDW_*_m_^-2,-,Inorganic_matter_in_hypolimnion_lake_water,-,-1,_sDIMWHyp0_ = _cDIMWHyp0_ *_MassHyp0_,_sDIMWHyp0_ = _cDIMWHyp0_ *_MassHyp0_,_sDIMWHyp0_ = _cDIMWHyp0_ *_MassHyp0_,_sDIMWHyp0_ = _cDIMWHyp0_ *_MassHyp0_,TRUE,TRUE,TRUE
15,0,_sDDiatWHyp0_,_gDW_*_m_^-2,-,Diatoms_DW_in_hypolimnion_lake_water,-,-1,_sDDiatWHyp0_ = _cDDiatWHyp0_ *_MassHyp0_,_sDDiatWHyp0_ = _cDDiatWHyp0_ *_MassHyp0_,_sDDiatWHyp0_ = _cDDiatWHyp0_ *_MassHyp0_,_sDDiatWHyp0_ = _cDDiatWHyp0_ *_MassHyp0_,TRUE,TRUE,TRUE
16,0,_sNDiatWHyp0_,_gN_*_m_^-2,-,Diatoms_N_in_hypolimnion_lake_water,-,-1,_sNDiatWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDiat0_ * _sDDiatWHyp0_ _ELSE_ _cNDiatWHyp0_ *_MassHyp0_ _ENDIF_,_sNDiatWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDiat0_ * _sDDiatWHyp0_ _ELSE_ _cNDiatWHyp0_ *_MassHyp0_ _ENDIF_,_sNDiatWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDiat0_ * _sDDiatWHyp0_ _ELSE_ _cNDiatWHyp0_ *_MassHyp0_ _ENDIF_,_sNDiatWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDDiat0_ * _sDDiatWHyp0_ _ELSE_ _cNDiatWHyp0_ *_MassHyp0_ _ENDIF_,TRUE,TRUE,TRUE
17,0,_sPDiatWHyp0_,_gP_*_m_^-2,-,Diatoms_P_in_hypolimnion_lake_water,-,-1,_sPDiatWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDiat0_ * _sDDiatWHyp0_ _ELSE_ _cPDiatWHyp0_ *_MassHyp0_ _ENDIF_,_sPDiatWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDiat0_ * _sDDiatWHyp0_ _ELSE_ _cPDiatWHyp0_ *_MassHyp0_ _ENDIF_,_sPDiatWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDiat0_ * _sDDiatWHyp0_ _ELSE_ _cPDiatWHyp0_ *_MassHyp0_ _ENDIF_,_sPDiatWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cPDDiat0_ * _sDDiatWHyp0_ _ELSE_ _cPDiatWHyp0_ *_MassHyp0_ _ENDIF_,TRUE,TRUE,TRUE
18,0,_sDGrenWHyp0_,_gDW_*_m_^-2,-,Green_algae_DW_in_hypolimnion_lake_water,-,-1,_sDGrenWHyp0_ = _cDGrenWHyp0_ *_MassHyp0_,_sDGrenWHyp0_ = _cDGrenWHyp0_ *_MassHyp0_,_sDGrenWHyp0_ = _cDGrenWHyp0_ *_MassHyp0_,_sDGrenWHyp0_ = _cDGrenWHyp0_ *_MassHyp0_,TRUE,TRUE,TRUE
19,0,_sNGrenWHyp0_,_gN_*_m_^-2,-,Green_algae_N_in_hypolimnion_lake_water,-,-1,_sNGrenWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDGren0_ * _sDGrenWHyp0_ _ELSE_ _cNGrenWHyp0_ *_MassHyp0_ _ENDIF_,_sNGrenWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDGren0_ * _sDGrenWHyp0_ _ELSE_ _cNGrenWHyp0_ *_MassHyp0_ _ENDIF_,_sNGrenWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDGren0_ * _sDGrenWHyp0_ _ELSE_ _cNGrenWHyp0_ *_MassHyp0_ _ENDIF_,_sNGrenWHyp0_ = _IF_ (_InitCalc_ _EQ_ _TRUE_) _THEN_ _cNDGren0_ * _sDGrenWHyp0_ _ELSE_ _cNGrenWHyp0_ *_MassHyp0_ _ENDIF_,TRUE,TRUE,TRUE
